iter	CrossEntropy
0	0.6758608398
1	0.6579731445
2	0.6446544189
3	0.6299492187
4	0.6170876465
5	0.6048619385
6	0.5916411743
7	0.5804386597
8	0.5686090698
9	0.556635498
10	0.5487240601
11	0.5400606689
12	0.5308356323
13	0.5232901611
14	0.5163077393
15	0.5108861694
16	0.5033256226
17	0.4974553223
18	0.4925013428
19	0.4859126587
20	0.4801461792
21	0.4755121765
22	0.4704570923
23	0.4652860107
24	0.4583833313
25	0.4538598633
26	0.4495794678
27	0.4460032349
28	0.4423692322
29	0.4396482544
30	0.4353120117
31	0.4301628418
32	0.4262947998
33	0.4233670044
34	0.4194755859
35	0.4153982239
36	0.4113963013
37	0.4090814514
38	0.406496582
39	0.4035811768
40	0.4018123169
41	0.3979991455
42	0.3956629639
43	0.3928573608
44	0.390179718
45	0.3877602234
46	0.3844111328
47	0.3822462158
48	0.3803515625
49	0.3773651733
50	0.3746254272
51	0.3720466919
52	0.3707303467
53	0.3677841187
54	0.3662454834
55	0.3639284363
56	0.3630614014
57	0.3608009644
58	0.3585281677
59	0.3575415649
60	0.3554846802
61	0.354175354
62	0.3530595093
63	0.3517302856
64	0.3501012878
65	0.3486208801
66	0.3461512756
67	0.3443752441
68	0.3432789917
69	0.3418645935
70	0.3402990723
71	0.3392896729
72	0.3375946655
73	0.3356107178
74	0.333875885
75	0.3326040039
76	0.3312988281
77	0.3297642212
78	0.3288517761
79	0.3273429871
80	0.3258682251
81	0.3245934143
82	0.3230065308
83	0.3223387146
84	0.3213479614
85	0.320198822
86	0.3190501709
87	0.3176676025
88	0.3162753906
89	0.315407135
90	0.3142609863
91	0.3132785034
92	0.3124482422
93	0.3115937805
94	0.3104054565
95	0.3088195801
96	0.3079816589
97	0.3066554565
98	0.3046268311
99	0.3036830444
100	0.303010437
101	0.3020493774
102	0.3006157532
103	0.2995956726
104	0.298408905
105	0.2980636902
106	0.2966627502
107	0.2960391541
108	0.2955211792
109	0.2947583618
110	0.2932414551
111	0.2922210693
112	0.2913223877
113	0.2902908325
114	0.2890081177
115	0.2884078369
116	0.287494751
117	0.2866856079
118	0.2857134399
119	0.2850473633
120	0.2843565674
121	0.283236145
122	0.2824432678
123	0.2807339478
124	0.2802487793
125	0.2790703125
126	0.2781884766
127	0.2774058228
128	0.2764292603
129	0.2753093262
130	0.274239502
131	0.2729415283
132	0.2719424438
133	0.271071167
134	0.2702068481
135	0.2696044617
136	0.2685516968
137	0.2680604248
138	0.2672735596
139	0.266611908
140	0.2658421631
141	0.2650400085
142	0.2643447571
143	0.2638300171
144	0.2632285461
145	0.2623517761
146	0.261727356
147	0.2610336914
148	0.2604108276
149	0.2594954834
150	0.2590431213
151	0.2582398071
152	0.2572036133
153	0.2563319092
154	0.2557803802
155	0.2547068176
156	0.2541082458
157	0.2529548645
158	0.2525751648
159	0.2519988251
160	0.2515029144
161	0.250842392
162	0.2501882935
163	0.2491860962
164	0.2484944458
165	0.2482485962
166	0.2475422058
167	0.2464543152
168	0.2458778229
169	0.2452897034
170	0.2448859863
171	0.2438956299
172	0.2429864197
173	0.2425158234
174	0.2421666718
175	0.2416602936
176	0.2408855438
177	0.2404555359
178	0.2398655701
179	0.2390804901
180	0.238013855
181	0.2371652832
182	0.2363475342
183	0.2350477905
184	0.2341477051
185	0.233366272
186	0.2324719391
187	0.2319471436
188	0.2314756317
189	0.2304674835
190	0.2301698151
191	0.2297147064
