iter	Passed	Remaining
0	112	112636
1	215	107751
2	310	103047
3	403	100351
4	515	102550
5	649	107524
6	774	109807
7	883	109614
8	993	109418
9	1114	110343
10	1249	112321
11	1371	112951
12	1492	113314
13	1619	114036
14	1727	113456
15	1853	114006
16	1966	113725
17	2078	113395
18	2203	113774
19	2333	114363
20	2449	114183
21	2568	114186
22	2685	114066
23	2806	114135
24	2908	113417
25	3018	113066
26	3130	112798
27	3245	112671
28	3357	112401
29	3491	112904
30	3630	113493
31	3759	113739
32	3877	113612
33	4022	114284
34	4144	114271
35	4266	114252
36	4386	114155
37	4497	113867
38	4621	113881
39	4744	113870
40	4871	113946
41	4997	113993
42	5132	114219
43	5250	114079
44	5379	114157
45	5500	114078
46	5649	114547
47	5779	114621
48	5892	114360
49	6010	114201
50	6120	113886
51	6271	114342
52	6396	114295
53	6505	113968
54	6619	113732
55	6751	113804
56	6859	113475
57	6971	113223
58	7097	113192
59	7227	113232
60	7363	113353
61	7482	113195
62	7584	112800
63	7694	112532
64	7841	112796
65	7971	112815
66	8100	112803
67	8212	112563
68	8340	112533
69	8454	112328
70	8572	112169
71	8689	112001
72	8831	112151
73	8933	111787
74	9042	111530
75	9152	111272
76	9281	111254
77	9406	111189
78	9527	111068
79	9635	110813
80	9735	110459
81	9844	110209
82	9956	109999
83	10089	110028
84	10220	110023
85	10346	109957
86	10478	109961
87	10586	109718
88	10725	109790
89	10864	109848
90	10998	109863
91	11096	109519
92	11193	109166
93	11320	109114
94	11427	108860
95	11547	108742
96	11679	108728
97	11819	108791
98	11958	108836
99	12093	108838
100	12206	108648
101	12332	108574
102	12457	108492
103	12592	108491
104	12715	108381
105	12843	108322
106	12971	108255
107	13091	108125
108	13216	108037
109	13327	107832
110	13450	107727
111	13579	107669
112	13706	107586
113	13810	107337
114	13933	107227
115	14058	107134
116	14173	106964
117	14291	106823
118	14431	106840
119	14547	106679
120	14680	106643
121	14803	106538
122	14921	106387
123	15023	106132
124	15125	105876
125	15239	105708
126	15341	105459
127	15444	105218
128	15569	105121
129	15702	105086
130	15819	104939
131	15933	104772
132	16045	104598
133	16181	104573
134	16299	104435
135	16408	104241
136	16521	104072
137	16632	103891
138	16736	103670
139	16835	103420
140	16955	103298
141	17074	103166
142	17207	103126
143	17318	102947
144	17425	102750
145	17560	102717
146	17709	102765
147	17822	102599
148	17937	102449
149	18053	102304
150	18183	102236
151	18302	102108
152	18417	101955
153	18534	101817
154	18648	101663
155	18775	101578
156	18903	101500
157	19015	101336
158	19133	101203
159	19249	101059
160	19372	100955
161	19506	100903
162	19618	100742
163	19733	100594
164	19862	100515
165	19968	100325
166	20086	100194
167	20205	100063
168	20320	99919
169	20440	99795
170	20567	99708
171	20704	99672
172	20831	99582
173	20961	99508
174	21068	99321
175	21211	99306
176	21348	99262
177	21484	99216
178	21593	99041
179	21712	98910
180	21840	98823
181	21983	98804
182	22082	98588
183	22215	98521
184	22340	98419
185	22472	98346
186	22582	98178
187	22706	98074
188	22814	97895
189	22934	97774
190	23061	97679
191	23213	97689
192	23334	97567
193	23453	97442
194	23570	97304
195	23674	97114
196	23784	96949
197	23915	96870
198	24047	96793
199	24191	96764
200	24307	96623
201	24413	96443
202	24538	96339
203	24667	96251
204	24798	96171
205	24927	96079
206	25042	95936
207	25153	95775
208	25265	95622
209	25394	95530
210	25510	95393
211	25620	95231
212	25741	95108
213	25860	94982
214	25986	94880
215	26110	94769
216	26221	94613
217	26350	94524
218	26479	94430
219	26586	94262
220	26696	94102
221	26817	93983
222	26956	93923
223	27097	93874
224	27219	93755
225	27348	93664
226	27465	93529
227	27584	93400
228	27702	93269
229	27822	93145
230	27941	93018
231	28065	92906
232	28183	92774
233	28299	92639
234	28431	92554
235	28572	92497
236	28678	92329
237	28797	92200
238	28916	92074
239	29059	92020
240	29191	91934
241	29322	91844
242	29439	91710
243	29580	91652
244	29716	91573
245	29823	91409
246	29945	91290
247	30065	91166
248	30186	91044
249	30295	90886
250	30418	90769
251	30521	90595
252	30631	90442
253	30758	90339
254	30877	90211
255	30976	90026
256	31095	89897
257	31215	89775
258	31332	89641
259	31448	89506
260	31557	89353
261	31677	89228
262	31781	89060
263	31910	88962
